Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,23909,1990,26.3,20.3,20.1,12.9,9.6,7.1,6.6,8.6,17.0,19.5,25.6,23.6,16.4
IDCJAC0003,23909,1991,25.7,28.3,20.1,12.9,9.7,5.9,7.2,8.4,13.8,21.9,24.4,26.9,17.1
IDCJAC0003,23909,1992,26.9,23.6,17.6,12.5,8.5,7.0,8.0,9.6,11.6,16.8,20.3,20.6,15.2
IDCJAC0003,23909,1993,25.3,24.0,17.9,14.3,9.4,6.9,7.6,9.6,14.7,21.0,25.5,23.9,16.7
IDCJAC0003,23909,1994,26.3,21.5,21.2,13.0,9.6,6.2,9.6,14.6,14.6,19.3,19.6,29.9,17.1
IDCJAC0003,23909,1995,26.9,24.3,18.7,11.9,7.1,6.4,5.6,12.8,15.4,19.5,23.7,26.1,16.5
IDCJAC0003,23909,1996,28.7,24.2,19.4,11.7,9.1,6.7,6.9,9.8,15.1,21.8,26.1,29.0,17.4
IDCJAC0003,23909,1997,27.1,25.7,19.8,13.5,8.2,7.0,8.9,10.3,13.7,18.8,23.1,27.1,16.9
IDCJAC0003,23909,1998,26.9,26.5,20.0,13.3,9.6,7.5,7.4,11.0,15.3,18.9,26.7,27.5,17.5
IDCJAC0003,23909,1999,28.3,24.0,18.7,15.5,8.3,7.9,8.4,12.8,16.0,20.0,24.1,24.9,17.4
IDCJAC0003,23909,2000,26.3,22.5,18.8,13.8,8.5,7.2,8.1,10.9,14.3,19.6,25.8,27.9,17.0
IDCJAC0003,23909,2001,29.0,24.7,19.0,15.1,8.9,5.9,7.9,9.9,14.0,18.0,23.4,24.9,16.7
IDCJAC0003,23909,2002,26.1,24.7,21.8,13.9,9.0,7.3,8.4,12.8,15.7,18.2,24.9,27.9,17.6
IDCJAC0003,23909,2003,29.6,23.4,20.4,14.3,9.2,6.0,8.7,9.6,14.2,18.9,26.6,26.5,17.3
IDCJAC0003,23909,2004,27.5,24.9,21.7,13.2,9.5,6.9,7.0,11.5,14.3,22.6,23.4,26.9,17.4
IDCJAC0003,23909,2005,27.1,22.9,20.8,15.4,10.3,7.8,8.6,11.4,15.5,19.5,22.4,null,null
IDCJAC0003,23909,2006,26.2,24.7,20.2,11.8,8.4,8.3,7.1,11.8,17.2,23.9,26.1,28.5,17.9
IDCJAC0003,23909,2007,25.8,26.7,18.7,13.8,8.2,7.6,8.3,12.5,16.0,19.5,27.0,26.0,17.5
IDCJAC0003,23909,2008,30.5,23.9,19.4,13.1,9.8,7.1,7.4,9.8,17.7,21.1,23.8,24.1,17.3
IDCJAC0003,23909,2009,32.1,26.0,17.6,13.5,8.3,7.0,7.6,11.0,13.7,21.0,24.9,28.8,17.6
IDCJAC0003,23909,2010,29.7,24.8,18.5,12.8,9.2,7.3,7.3,9.1,12.8,20.7,21.7,25.2,16.6
IDCJAC0003,23909,2011,27.5,22.2,16.7,14.1,8.3,7.5,7.3,11.1,14.6,17.9,23.8,26.6,16.5
IDCJAC0003,23909,2012,27.0,21.1,18.2,13.7,8.5,7.1,7.6,9.4,15.8,21.4,25.7,26.7,16.8
IDCJAC0003,23909,2013,28.8,24.5,17.3,13.3,9.2,6.8,7.3,10.0,13.4,19.5,23.5,24.5,16.5
IDCJAC0003,23909,2014,27.5,22.2,17.7,12.5,8.5,6.4,7.1,12.7,15.5,21.6,22.7,26.0,16.7
IDCJAC0003,23909,2015,24.1,24.3,18.4,11.5,8.7,7.9,8.0,9.7,16.2,22.4,25.0,27.5,17.0
IDCJAC0003,23909,2016,25.6,24.1,17.1,14.1,8.7,7.3,7.8,11.6,11.6,19.0,23.8,23.7,16.2
IDCJAC0003,23909,2017,25.7,21.4,17.2,11.8,9.2,9.2,7.8,9.5,15.4,20.5,21.6,23.7,16.1
IDCJAC0003,23909,2018,24.3,21.4,17.9,14.0,8.5,8.4,8.8,10.7,16.2,18.9,22.1,23.2,16.2
IDCJAC0003,23909,2019,26.6,23.7,17.6,13.1,8.4,8.2,8.2,10.1,15.8,20.8,23.1,27.5,16.9
IDCJAC0003,23909,2020,24.8,21.8,17.0,11.7,9.5,7.9,9.6,10.3,14.5,17.4,24.3,25.9,16.2
IDCJAC0003,23909,2021,25.2,21.2,18.4,13.3,9.0,7.5,7.7,11.5,15.1,19.5,21.2,28.7,16.5
IDCJAC0003,23909,2022,23.7,22.4,18.3,12.4,9.3,7.4,8.7,9.7,13.3,16.9,21.0,27.4,15.9
IDCJAC0003,23909,2023,26.6,23.6,16.3,12.5,8.4,7.0,8.9,11.8,17.6,20.8,24.3,21.5,16.6
IDCJAC0003,23909,2024,26.2,24.4,19.4,13.1,10.9,7.4,9.0,11.4,15.2,21.2,22.9,27.5,17.4
IDCJAC0003,23909,2025,27.3,25.0,19.6,13.0,11.0,8.3,8.4,11.3,15.1,18.8,19.4,28.4,17.1
IDCJAC0003,23909,2026,27.5,22.4,18.3,null,null,null,null,null,null,null,null,null,null
